بسّ,only;just;merely,,adverb,,,,,,,342
عِنْدي بسّ وَلد واحد.‌,I have only one child.,,,,,,,,,343
تّصلِت بسّ تقول مرْحبا.‌,I just called to say hello.,,,,,,,,,344
بِسبب,because of,,preposition,,,,,,,345
ما بْيِحْكوا بِسبب المشْكل.‌,They don't talk because of the problem.,,,,,,,,,346
بِسِّة,cat,,noun,plural,بِسس,,,,,347
عِنْدي بِسِّة رْمادية.‌,I have a gray cat.,,,,,,,,,348
بسْكوتِة,cookie,,noun,plural,بسْكوْت,,,,,349
بْحِبّ آكُل بسْكوْت مع الشّاي.‌,I like to eat cookies with tea.,,,,,,,,,350
بسْمِة,smile,,noun,,,,,,,351
عِنْدو دايْماً بسْمِة عَ وِجّو.‌,He always has a smile on his face.,,,,,,,,,352
بْسَيْنِة,cat,,noun,,,,,,,353
عِنْدي بْسَيْنِة رْمادية.‌,I have a gray cat.,,,,,,,,,354
بشْرة,skin,,noun,,,,,,,355
بْتِهْتمّ بِبشْرِتا.‌,She takes care of her skin.,,,,,,,,,356
بْضاعة,product;merchandise,,noun,plural,بضايِع,,,,,357
المحلّ بيبيع بْضاعة قديمِة.‌,The store sells old products.,,,,,,,,,358
الِبْضاعة الجّْديدِة بْتوصل بُكْرا.‌,The new merchandise arrives tomorrow.,,,,,,,,,359
بطّأ,slow down,,verb,imperfect,يْبطِّئ,,,,,360
السِّيّارة بطّئِت عالضّوّ الأحْمر.‌,The car slowed down at the red light.,,,,,,,,,361
بطاطا,potatoes,,collective noun,,,,,,,362
بْحِبّ حُطّ بطاطا بِالشّوْرْبة.‌,I like to put potatoes in the soup.,,,,,,,,,363
بِطاقة,card;ticket,,noun,,,,,,,364
بِدْفع بِالبِطاقة.‌,I'm paying by card.,,,,,,,,,365
بِطاقات الحفْلِة غالْيين.‌,The tickets for the party are expensive.,,,,,,,,,366
بطِن,stomach,,noun,plural,بْطون,,,,,367
بطْني عم توجعْني.‌,My stomach hurts.,,,,,,,,,368
بطّة,duck,,noun,,,,,,,369
البطّة صفْرا.‌,The duck is yellow.,,,,,,,,,370
بطيء,slow,,adjective,elative,أبْطأ,,,,,371
"بْيِمْشي بْسِرعة، بسّ هِيِّ بطيئة.‌",He walks fast;but she is slow.,,,,,,,,,372
بعت,send,,verb,imperfect,يِبْعت,,,,,373
بعْتِّلّو إيميْل.‌,I sent him an email.,,,,,,,,,374
بِعْتِذِر,I'm sorry,,,,,,,,,375
بِعْتِذِر إذا وَجّعْتك.‌,I'm sorry if I hurt you.,,,,,,,,,376
بعِد,still;(not) yet,,adverb,also,بعْدو,,,,,377
الكيْك بعْدو بِالفُرُن.‌,The cake is still in the oven.,,,,,,,,,378
